Time(s),Volt(v),Current(A)
30,2.9958,-0.0380
66,3.0709,-0.0380
99,3.1248,-0.0380
135,3.1702,-0.0380
168,3.2087,-0.0380
204,3.2409,-0.0380
237,3.2688,-0.0380
273,3.2939,-0.0380
306,3.3144,-0.0380
342,3.3326,-0.0380
375,3.3483,-0.0380
413,3.3622,-0.0380
449,3.3718,-0.0380
482,3.3818,-0.0380
518,3.3904,-0.0380
551,3.4000,-0.0381
587,3.4081,-0.0381
620,3.4173,-0.0381
656,3.4244,-0.0381
689,3.4321,-0.0381
725,3.4394,-0.0381
758,3.4464,-0.0381
795,3.4526,-0.0381
831,3.4567,-0.0381
864,3.4610,-0.0381
901,3.4640,-0.0381
935,3.4672,-0.0381
971,3.4698,-0.0381
1004,3.4724,-0.0381
1040,3.4748,-0.0381
1073,3.4774,-0.0381
1109,3.4797,-0.0381
1142,3.4819,-0.0381
1179,3.4844,-0.0381
1216,3.4865,-0.0381
1249,3.4894,-0.0381
1285,3.4916,-0.0381
1318,3.4943,-0.0381
1354,3.4962,-0.0381
1387,3.4991,-0.0381
1423,3.5013,-0.0381
1456,3.5038,-0.0381
1492,3.5063,-0.0381
1525,3.5091,-0.0381
1562,3.5124,-0.0381
1599,3.5144,-0.0381
1632,3.5179,-0.0381
1668,3.5207,-0.0381
1701,3.5244,-0.0381
1737,3.5278,-0.0381
1770,3.5310,-0.0381
1806,3.5345,-0.0381
1839,3.5380,-0.0381
1875,3.5414,-0.0381
1908,3.5449,-0.0381
1945,3.5484,-0.0381
1981,3.5513,-0.0381
2014,3.5553,-0.0381
2050,3.5584,-0.0381
2083,3.5619,-0.0381
2119,3.5649,-0.0381
2152,3.5685,-0.0381
2188,3.5716,-0.0381
2221,3.5747,-0.0381
2257,3.5775,-0.0381
2290,3.5806,-0.0381
2328,3.5837,-0.0381
2364,3.5861,-0.0381
2397,3.5894,-0.0381
2433,3.5923,-0.0381
2466,3.5957,-0.0381
2503,3.5987,-0.0381
2536,3.6021,-0.0381
2572,3.6050,-0.0381
2605,3.6080,-0.0381
2642,3.6107,-0.0381
2675,3.6133,-0.0381
2712,3.6159,-0.0381
2749,3.6176,-0.0381
2782,3.6198,-0.0381
2818,3.6212,-0.0381
2851,3.6234,-0.0381
2887,3.6250,-0.0381
2920,3.6265,-0.0381
2956,3.6280,-0.0381
2989,3.6293,-0.0381
3025,3.6308,-0.0381
3058,3.6323,-0.0381
3096,3.6337,-0.0381
3132,3.6344,-0.0381
3165,3.6360,-0.0381
3201,3.6371,-0.0381
3234,3.6386,-0.0381
3270,3.6398,-0.0381
3303,3.6414,-0.0381
3339,3.6426,-0.0381
3372,3.6439,-0.0381
3409,3.6454,-0.0381
3442,3.6468,-0.0381
3479,3.6483,-0.0381
3515,3.6488,-0.0381
3548,3.6507,-0.0381
3584,3.6520,-0.0381
3617,3.6534,-0.0381
3653,3.6547,-0.0381
3686,3.6566,-0.0381
3722,3.6578,-0.0381
3755,3.6592,-0.0381
3791,3.6607,-0.0381
3824,3.6622,-0.0381
3861,3.6639,-0.0381
3898,3.6648,-0.0381
3931,3.6671,-0.0381
3968,3.6686,-0.0381
4001,3.6704,-0.0381
4037,3.6718,-0.0381
4070,3.6738,-0.0381
4106,3.6754,-0.0381
4139,3.6772,-0.0381
4175,3.6787,-0.0381
4208,3.6809,-0.0381
4245,3.6826,-0.0381
4281,3.6838,-0.0381
4314,3.6864,-0.0381
4350,3.6880,-0.0381
4383,3.6901,-0.0381
4419,3.6919,-0.0381
4452,3.6939,-0.0381
4488,3.6958,-0.0381
4521,3.6982,-0.0381
4557,3.7004,-0.0381
4590,3.7027,-0.0381
4627,3.7051,-0.0381
4664,3.7065,-0.0381
4697,3.7094,-0.0381
4733,3.7114,-0.0381
4766,3.7144,-0.0381
4802,3.7165,-0.0381
4835,3.7191,-0.0381
4871,3.7213,-0.0381
4904,3.7238,-0.0381
4940,3.7264,-0.0381
4973,3.7294,-0.0381
5010,3.7322,-0.0381
5046,3.7340,-0.0381
5079,3.7374,-0.0381
5115,3.7399,-0.0381
5148,3.7433,-0.0381
5184,3.7460,-0.0381
5218,3.7492,-0.0381
5254,3.7524,-0.0381
5287,3.7553,-0.0381
5323,3.7584,-0.0381
5356,3.7613,-0.0381
5392,3.7647,-0.0381
5428,3.7673,-0.0381
5461,3.7715,-0.0381
5497,3.7746,-0.0381
5530,3.7782,-0.0381
5566,3.7820,-0.0381
5599,3.7856,-0.0381
5636,3.7894,-0.0381
5669,3.7932,-0.0381
5705,3.7970,-0.0381
5738,3.8007,-0.0381
5776,3.8051,-0.0382
5812,3.8079,-0.0382
5845,3.8125,-0.0382
5881,3.8155,-0.0382
5914,3.8194,-0.0382
5950,3.8226,-0.0382
