Time,Volt,Current,Volt,Current,Volt,Current
58,3.1081,0.9994,3.0627,-0.0380,3.1066,0.9988
122,3.2008,0.9994,3.1601,-0.0380,3.1930,0.9989
186,3.2665,0.9994,3.2271,-0.0380,3.2647,0.9988
250,3.3165,0.9993,3.2783,-0.0380,3.3141,0.9987
314,3.3534,0.9990,3.3163,-0.0380,3.3518,0.9985
379,3.3587,0.9983,3.3453,-0.0380,3.3792,0.9983
441,3.4079,0.9993,3.3739,-0.0380,3.4052,0.9987
505,3.4236,0.9992,3.3894,-0.0380,3.4210,0.9986
569,3.4381,0.9991,3.4054,-0.0381,3.4357,0.9985
633,3.4517,0.9990,3.4198,-0.0381,3.4498,0.9985
697,3.4640,0.9988,3.4328,-0.0381,3.4624,0.9983
762,3.4611,0.9975,3.4440,-0.0381,3.4737,0.9980
823,3.4884,0.9991,3.4581,-0.0381,3.4863,0.9985
888,3.4945,0.9990,3.4648,-0.0381,3.4927,0.9984
953,3.4988,0.9990,3.4693,-0.0381,3.4970,0.9984
1017,3.5024,0.9989,3.4735,-0.0381,3.5011,0.9983
1081,3.5056,0.9987,3.4774,-0.0381,3.5044,0.9982
1146,3.4829,0.9974,3.4800,-0.0381,3.5073,0.9979
1208,3.5161,0.9990,3.4878,-0.0381,3.5143,0.9984
1272,3.5199,0.9990,3.4921,-0.0381,3.5182,0.9984
1336,3.5237,0.9989,3.4961,-0.0381,3.5221,0.9983
1400,3.5273,0.9989,3.4997,-0.0381,3.5258,0.9983
1464,3.5308,0.9987,3.5037,-0.0381,3.5294,0.9982
1529,3.5140,0.9973,3.5072,-0.0381,3.5331,0.9979
1591,3.5424,0.9990,3.5156,-0.0381,3.5407,0.9984
1655,3.5474,0.9990,3.5212,-0.0381,3.5458,0.9983
1719,3.5530,0.9989,3.5269,-0.0381,3.5512,0.9981
1783,3.5583,0.9988,3.5326,-0.0381,3.5570,0.9982
1847,3.5634,0.9987,3.5379,-0.0381,3.5623,0.9982
1912,3.5452,0.9979,3.5433,-0.0381,3.5678,0.9979
1973,3.5779,0.9990,3.5523,-0.0381,3.5762,0.9983
2037,3.5837,0.9989,3.5582,-0.0381,3.5820,0.9984
2101,3.5894,0.9989,3.5644,-0.0381,3.5880,0.9983
2165,3.5946,0.9988,3.5694,-0.0381,3.5932,0.9982
2229,3.5992,0.9986,3.5743,-0.0381,3.5980,0.9981
2294,3.5795,0.9979,3.5788,-0.0381,3.6027,0.9979
2356,3.6120,0.9989,3.5871,-0.0381,3.6104,0.9983
2420,3.6171,0.9989,3.5925,-0.0381,3.6157,0.9983
2485,3.6225,0.9989,3.5980,-0.0381,3.6212,0.9983
2549,3.6277,0.9988,3.6032,-0.0381,3.6263,0.9982
2614,3.6325,0.9987,3.6084,-0.0381,3.6311,0.9981
2679,3.6291,0.9973,3.6118,-0.0381,3.6352,0.9978
2741,3.6429,0.9990,3.6186,-0.0381,3.6412,0.9981
2805,3.6461,0.9989,3.6222,-0.0381,3.6446,0.9983
2869,3.6489,0.9989,3.6247,-0.0381,3.6474,0.9983
2933,3.6510,0.9988,3.6271,-0.0381,3.6496,0.9982
2997,3.6530,0.9986,3.6294,-0.0381,3.6519,0.9981
3062,3.6391,0.9979,3.6306,-0.0381,3.6533,0.9979
3124,3.6595,0.9989,3.6358,-0.0381,3.6580,0.9983
3188,3.6616,0.9989,3.6377,-0.0381,3.6600,0.9983
3252,3.6638,0.9988,3.6403,-0.0381,3.6622,0.9983
3316,3.6657,0.9988,3.6419,-0.0381,3.6642,0.9982
3380,3.6673,0.9986,3.6440,-0.0381,3.6663,0.9981
3446,3.6614,0.9973,3.6450,-0.0381,3.6674,0.9978
3507,3.6740,0.9989,3.6505,-0.0381,3.6724,0.9983
3571,3.6763,0.9989,3.6527,-0.0381,3.6745,0.9983
3635,3.6784,0.9988,3.6548,-0.0381,3.6768,0.9982
3699,3.6804,0.9987,3.6569,-0.0381,3.6787,0.9982
3763,3.6823,0.9985,3.6590,-0.0381,3.6810,0.9981
3828,3.6655,0.9973,3.6603,-0.0381,3.6828,0.9978
3890,3.6900,0.9989,3.6665,-0.0381,3.6883,0.9983
3955,3.6928,0.9989,3.6691,-0.0381,3.6910,0.9982
4019,3.6955,0.9988,3.6718,-0.0381,3.6937,0.9982
4083,3.6978,0.9987,3.6743,-0.0381,3.6961,0.9981
4147,3.6998,0.9985,3.6764,-0.0381,3.6983,0.9980
4212,3.6807,0.9973,3.6786,-0.0381,3.7007,0.9978
4273,3.7090,0.9989,3.6852,-0.0381,3.7070,0.9983
4337,3.7122,0.9989,3.6888,-0.0381,3.7103,0.9982
4401,3.7153,0.9988,3.6920,-0.0381,3.7134,0.9982
4465,3.7183,0.9987,3.6950,-0.0381,3.7166,0.9981
4529,3.7213,0.9985,3.6979,-0.0381,3.7197,0.9981
4594,3.7162,0.9973,3.7005,-0.0381,3.7229,0.9977
4656,3.7319,0.9989,3.7084,-0.0381,3.7298,0.9983
4720,3.7357,0.9989,3.7124,-0.0381,3.7336,0.9983
4784,3.7396,0.9988,3.7160,-0.0381,3.7376,0.9982
4849,3.7438,0.9987,3.7204,-0.0381,3.7417,0.9979
4912,3.7472,0.9985,3.7239,-0.0381,3.7458,0.9980
4977,3.7408,0.9973,3.7270,-0.0381,3.7488,0.9974
5038,3.7594,0.9989,3.7358,-0.0381,3.7574,0.9982
5102,3.7643,0.9988,3.7405,-0.0381,3.7619,0.9980
5166,3.7688,0.9988,3.7450,-0.0381,3.7668,0.9982
5231,3.7739,0.9987,3.7501,-0.0381,3.7719,0.9981
5295,3.7786,0.9985,3.7554,-0.0381,3.7770,0.9980
5360,3.7634,0.9972,3.7594,-0.0381,3.7819,0.9978
5420,3.7927,0.9989,3.7692,-0.0381,3.7905,0.9983
5484,3.7986,0.9988,3.7751,-0.0381,3.7966,0.9982
5548,3.8046,0.9988,3.7815,-0.0381,3.8032,0.9983
5612,3.8105,0.9987,3.7872,-0.0381,3.8087,0.9981
5677,3.8166,0.9985,3.7935,-0.0381,3.8152,0.9980
5742,3.8049,0.9978,3.7988,-0.0381,3.8209,0.9978
5804,3.8325,0.9989,3.8089,-0.0382,3.8307,0.9983
5868,3.8387,0.9988,3.8155,-0.0382,3.8370,0.9982
5932,3.8448,0.9988,3.8216,-0.0382,3.8432,0.9982
5996,3.8504,0.9987,3.8274,-0.0382,3.8487,0.9981
6060,3.8550,0.9985,3.8323,-0.0382,3.8537,0.9980
6125,3.8413,0.9972,3.8370,-0.0382,3.8590,0.9977
6186,3.8686,0.9988,3.8459,-0.0382,3.8667,0.9980
6249,3.8739,0.9988,3.8510,-0.0382,3.8722,0.9982
6313,3.8790,0.9988,3.8564,-0.0382,3.8774,0.9982
6377,3.8839,0.9987,3.8612,-0.0382,3.8824,0.9981
6441,3.8885,0.9985,3.8659,-0.0382,3.8868,0.9978
6506,3.8782,0.9972,3.8697,-0.0382,3.8914,0.9978
6567,3.9009,0.9989,3.8781,-0.0382,3.8987,0.9981
6631,3.9055,0.9988,3.8828,-0.0382,3.8871,0.9983
6695,3.9086,0.9988,3.8859,-0.0382,3.8903,0.2378
6759,3.8910,0.2392,3.8845,-0.0382,3.8900,0.2374
6823,3.8922,0.2374,3.8858,-0.0382,3.8913,0.2361
6888,3.8892,0.2306,3.8839,-0.0382,3.8896,0.2359
6949,3.8938,0.2378,3.8875,-0.0382,3.8932,0.2356
7013,3.8931,0.2385,3.8870,-0.0382,3.8926,0.2361
7077,3.8937,0.2381,3.8874,-0.0382,3.8931,0.2358
7143,3.8944,0.2374,3.8882,-0.0382,3.8940,0.2352
7208,3.8951,0.2361,3.8890,-0.0382,3.8948,0.2344
7273,3.8925,0.2291,3.8898,-0.0382,3.8956,0.2333
7335,3.8977,0.2358,3.8916,-0.0382,3.8972,0.2335
7399,3.8987,0.2350,3.8925,-0.0382,3.8981,0.2323
7463,3.8996,0.2343,3.8935,-0.0382,3.8991,0.2319
7527,3.9004,0.2335,3.8944,-0.0382,3.9001,0.2318
7591,3.9013,0.2319,3.8953,-0.0382,3.9009,0.2301
7656,3.8962,0.2249,3.8960,-0.0382,3.9017,0.2282
7717,3.9038,0.2314,3.8978,-0.0382,3.9034,0.2291
7782,3.9048,0.2306,3.8988,-0.0382,3.9043,0.2283
7847,3.9057,0.2298,3.8997,-0.0382,3.9052,0.2275
7911,3.9066,0.2289,3.9006,-0.0382,3.9061,0.2262
7975,3.9074,0.2275,3.9014,-0.0382,3.9070,0.2253
8041,3.9068,0.2200,3.9020,-0.0382,3.9077,0.2235
8102,3.9099,0.2268,3.9039,-0.0382,3.9095,0.2245
8166,3.9109,0.2260,3.9049,-0.0382,3.9104,0.2237
8230,3.9118,0.2252,3.9058,-0.0382,3.9113,0.2229
8294,3.9126,0.2242,3.9067,-0.0382,3.9122,0.2221
8358,3.9134,0.2228,3.9076,-0.0382,3.9131,0.2210
8423,3.9106,0.2184,3.9084,-0.0382,3.9139,0.2192
8484,3.9159,0.2222,3.9100,-0.0382,3.9154,0.2199
8548,3.9167,0.2214,3.9109,-0.0382,3.9163,0.2190
8612,3.9176,0.2206,3.9118,-0.0382,3.9172,0.2183
8676,3.9185,0.2197,3.9128,-0.0382,3.9181,0.2173
8740,3.9193,0.2183,3.9135,-0.0382,3.9190,0.2164
8806,3.9195,0.2135,3.9143,-0.0382,3.9197,0.2147
8867,3.9217,0.2176,3.9159,-0.0382,3.9213,0.2153
8932,3.9226,0.2169,3.9168,-0.0382,3.9223,0.2146
